,Unnamed: 0,blockNumber,txHash,txTimestamp,gasPriceGwei,fee,submitter,payeeAddress,oracleName,amount,txDate
10,10,12064883,0x2bac70573d33571bc8b82c62fbcc9d1f9d6c70532f06490f28deb05635b9d22f,1616099689,173.0,1.923066962,0xbf6f297d433d2ace4de4ecf9e5e174de7135b705,0xdd4bc51496dc93a0c47008e820e0d80745476f22,staking_facilities,17.172434595,2021-03-18 20:34:49+00:00
27,27,12109536,0x63d410f648f43932ce9f7f6961b78caed4191049915590871c6c6d90cdddcc4b,1616694577,210.0,2.38013895,0xbf6f297d433d2ace4de4ecf9e5e174de7135b705,0xdd4bc51496dc93a0c47008e820e0d80745476f22,staking_facilities,6.42147882375,2021-03-25 17:49:37+00:00
44,44,12154408,0x02e5960d79f0520848588b8f33cf5a1a4ca9339f7b78e960191aad465822d273,1617290842,240.0,2.69543592,0xbf6f297d433d2ace4de4ecf9e5e174de7135b705,0xdd4bc51496dc93a0c47008e820e0d80745476f22,staking_facilities,19.584896364552,2021-04-01 15:27:22+00:00
60,60,12200098,0x94cec1d645720731ff41b776e75c46148c79a14f79bcd0b46d88a981967a816b,1617897171,180.0,1.9542492,0xbf6f297d433d2ace4de4ecf9e5e174de7135b705,0xdd4bc51496dc93a0c47008e820e0d80745476f22,staking_facilities,16.325021095848,2021-04-08 15:52:51+00:00
71,71,12226697,0x1bfdebc5a0548f460d8e11153e7b3697637471a5ef2f59be8b210693b7f9b2ba,1618250259,120.0,0.13118412,0x4eaafcbd16db53725774f6d97ec0d40b1a216519,0xdd4bc51496dc93a0c47008e820e0d80745476f22,staking_facilities,3.906175200132,2021-04-12 17:57:39+00:00
93,93,12246095,0xade301cfca49036343330475541883f189f87a5c9ef7d68b0d7b1acb34c85d90,1618508647,100.0,0.9187895,0xbf6f297d433d2ace4de4ecf9e5e174de7135b705,0xdd4bc51496dc93a0c47008e820e0d80745476f22,staking_facilities,14.265059885227,2021-04-15 17:44:07+00:00
111,111,12290373,0xcde2504338272e0d418cecfe2b86267c277d45537c90587ecac2a4e13e31d29e,1619099270,230.0,2.11192509,0xbf6f297d433d2ace4de4ecf9e5e174de7135b705,0xdd4bc51496dc93a0c47008e820e0d80745476f22,staking_facilities,18.782334196906,2021-04-22 13:47:50+00:00
127,127,12335272,0x668dadcdd3857691ba5335d19298d9648e7a8f03efbca8a8913e36bdf97aadb1,1619698243,75.0,0.67493115,0xbf6f297d433d2ace4de4ecf9e5e174de7135b705,0xdd4bc51496dc93a0c47008e820e0d80745476f22,staking_facilities,3.84814946692,2021-04-29 12:10:43+00:00
138,138,12375457,0x45247c72411fdec213e21a15c8d0bd8e01702070addc7bb53c8a82c3fc946518,1620234242,104.0,0.675630904,0x326377a6b92ec69acbbfe2de1eb1d7c9008e4c89,0xdd4bc51496dc93a0c47008e820e0d80745476f22,staking_facilities,14.99732716579,2021-05-05 17:04:02+00:00
159,159,12380815,0x16b761000e6d882992c77c3fb886b178a6d1c0551e55b8fd34aca0d99c1b575b,1620305129,70.0,0.60006296,0xbf6f297d433d2ace4de4ecf9e5e174de7135b705,0xdd4bc51496dc93a0c47008e820e0d80745476f22,staking_facilities,3.364052996436,2021-05-06 12:45:29+00:00
